Model,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
dmd,"(83.38, 0.0)","(83.31, 0.0)","(85.21, 0.0)","(85.19, 0.0)","(53.06, 0.0)","(46.36, 0.0)","(70.78, 0.0)","(79.91, 0.0)","(70.73, 0.0)"
dmd,"(82.51, 0.0)","(82.47, 0.0)","(83.99, 0.0)","(84.01, 0.0)","(50.87, 0.0)","(43.73, 0.0)","(74.36, 0.0)","(78.18, 0.0)","(74.31, 0.0)"
dmd,"(83.38, 0.0)","(83.37, 0.0)","(84.91, 0.0)","(84.94, 0.0)","(53.35, 0.0)","(46.79, 0.0)","(74.52, 0.0)","(77.63, 0.0)","(74.55, 0.0)"
dmd,"(82.8, 0.0)","(82.67, 0.0)","(84.76, 0.0)","(84.7, 0.0)","(52.48, 0.0)","(46.21, 0.0)","(71.98, 0.0)","(79.02, 0.0)","(72.02, 0.0)"
