0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
-2.1519363,-0.5485607,-0.7086794,-0.65303934,-0.36117497,-1.2094157,-1.2687911,-0.4737283,-0.15318194,-0.13723351,-1.146308,-0.9811769,-1.1858064,0.34093902,0.76152426,0.9250986,-0.41837946,-0.3143285,-1.8339256,-0.6712962,-0.67817247,0.99790865,1.2972497,-1.0105472,-0.21848963,1.0715008,-0.4756324,-0.7262912,-1.1231344,-0.3746542,-0.15118405,-0.6790732,0.13972132,0.5817279,-1.9130324,-0.5742041,-0.2461945,-0.00040370625,-1.4342483,-0.115324244,-0.89812344,1.2145818,0.6189479,0.38132903,-0.8440287,0.27586952,-0.92971927,0.060155693,-0.78596705,1.5544287
0.55128706,1.5889076,0.17500614,-2.121162,-1.7606465,0.21721292,0.19418573,-0.19464965,0.31145352,0.54476607,-0.08897459,1.099061,-1.3118582,1.3582532,-1.0766902,-0.653417,-0.4821862,-0.9651434,-0.27775645,0.9542698,0.056026064,-1.6943644,1.1707677,0.34717026,1.1742959,-1.3373702,1.9978961,-0.13586591,2.5792325,0.36351222,-0.5877228,0.27533293,-1.722019,-2.1923227,1.8871679,0.07298357,-0.13685773,0.31686622,-0.9365769,-0.54354393,-0.34921288,-1.473958,0.3038471,1.318731,0.086540155,-1.1462451,-0.9979001,2.184919,-0.5671205,-0.9165731
-0.18863535,-0.85086113,0.6276311,0.09650908,3.214003,-0.21240272,-1.9129018,0.26728314,-0.62803555,-0.7165845,-0.25329643,-0.5894525,0.0828006,-1.7350256,-0.53063583,-0.88582504,-0.33277476,-1.378602,-0.34492397,1.1687924,-0.70182186,0.28953347,0.37711203,-0.33645564,-0.9428643,1.7151672,0.4203964,1.4126568,2.261819,-0.962214,0.10914944,1.2240448,1.1617317,1.3163245,-0.35230255,-0.97049296,-1.3741057,1.5728211,0.007917039,-1.324845,0.6218948,-0.57249045,-1.7802614,-2.2254093,0.49213246,-0.99358857,1.190039,-0.9071115,1.443561,0.5036759
-0.25104958,1.2047588,-0.87767416,-0.34809327,1.268995,0.71334386,0.556007,0.17298622,0.56184673,0.0014178611,-0.036392692,-0.28992334,-0.24154608,-0.023767184,-1.5587848,1.1298048,-0.4093584,-0.7540372,0.54151136,-2.7452307,-0.22248514,-1.139161,-1.0972712,-0.94220376,-1.151891,-0.7928205,-0.52769434,-0.034703236,-0.98072803,-0.6620744,1.2215503,0.23411316,0.34528083,0.1920564,-0.17399192,-0.14352548,-0.35140678,-0.62961113,-0.23047408,0.5341866,1.5512727,-1.8388557,-0.5999324,1.5993223,-0.48509538,-0.4087843,-0.6144314,-0.3101296,-0.4576733,1.8598857
0.049183723,0.091437645,-1.0063605,-1.2547657,0.123241566,-1.552803,1.7513108,-0.03649699,0.3629683,0.052254956,-0.557078,0.18724024,-0.32916123,0.15673219,0.51983875,1.1544118,-0.85120946,0.60838616,-0.013089884,1.3549176,-0.40106598,-2.920342,-0.5867188,-1.1358415,0.90010124,-1.6824822,0.39956596,-0.30876735,-0.25003797,-1.1233609,-0.5485732,0.7822682,-0.24897869,0.37526414,1.5224578,-1.1825653,-1.0560209,0.69209117,0.6654147,-0.018490687,-0.22912103,0.8847067,-0.60082185,1.3493543,0.2592956,-0.10199107,0.61160225,-0.71725196,-0.7602281,1.4784288
0.4008254,-0.050741132,0.56347215,-0.0426345,0.08765048,-0.54582095,-0.62034476,-0.17428724,0.26485142,-0.018046916,-0.16401367,0.64191025,-0.66102767,0.30606326,-0.6218033,-0.72286826,0.81466395,0.5338363,2.3461814,-2.1620383,0.024332538,1.7495409,-1.748867,-1.4445908,0.5924886,0.280525,-2.837172,0.3932897,-0.122310996,-0.43197516,-0.8047229,-1.1457303,1.65388,-0.63138926,-1.4225231,0.31745178,1.0174798,1.3834637,0.009992788,-1.3247768,-1.1294429,0.7076767,0.50534475,-0.40126538,0.0316871,0.69053656,-0.6264577,0.5266991,-0.5126722,-1.6173949
0.6183508,0.6370156,-0.14846227,0.87219316,-0.93473816,1.2828181,-0.51990545,0.19489989,0.6968288,-1.0750409,-0.70874405,0.37115863,1.4352744,1.0206639,-0.7047395,0.3532662,-0.06645366,0.20490102,-0.028265577,0.6910543,0.78485066,0.22373496,-0.1553388,0.24912685,-0.9348558,0.38408446,-1.1904161,-0.55480176,0.11912175,0.57181275,0.9841538,0.23344004,0.9013812,-0.24420807,0.77487624,-1.2120384,0.263736,-0.07396232,-0.4885182,-0.13434547,-0.84479475,0.88988465,-0.107584044,2.4003146,-0.3579273,3.107175,0.6088093,0.8558258,-1.5625376,-1.4739622
1.7728498,0.99593663,-2.2101226,-0.7533351,-1.1851333,1.7979087,-0.5413052,-0.9128804,-1.052242,-1.7040436,0.044333618,0.95545083,-0.6175133,-1.1542932,0.49415702,1.1857753,0.7220803,1.1314142,2.2443826,1.5660061,-0.1810784,2.0795488,-0.53884697,0.4084777,0.47080326,1.0613894,0.6158271,0.70601475,-1.0194713,-2.1021194,0.21058862,0.78549963,-1.5135185,-0.21530491,1.550063,-0.32038206,-0.60969454,0.20877689,0.67048556,-0.9658684,0.7058505,-0.07112032,-0.7862337,0.5435065,-0.7650478,-0.11605734,-0.3166209,0.57073283,0.1302174,0.51169115
-0.26826394,2.3373075,1.6631987,-1.097515,0.847092,0.034678027,1.5970612,1.4550028,0.9986766,1.7819023,-0.657236,-1.3124316,0.42159,1.5444547,-1.2331479,0.43549564,-1.6444365,-0.432124,0.7266493,1.1039227,-0.1075597,0.120913394,1.8886367,0.4896055,-0.78550154,0.034460366,1.0452285,1.1594709,2.340994,0.22540246,0.82787067,1.3179293,-0.48835617,1.4928504,-0.47967094,-0.8307637,-1.1686916,-0.83493376,-0.674797,1.0181289,-0.5640391,-2.0663178,-0.5608077,1.4151566,-0.6990641,1.067843,-0.7075791,-1.1528947,-0.6170483,-0.8095872
-0.8699171,-1.4628153,-0.44566432,-0.34720314,-0.39402425,-0.7476018,0.4585599,-0.55653656,-0.53073275,0.50971776,0.24746463,-1.7181493,0.04327851,-0.81604147,0.26927856,0.9485523,-0.16355678,0.001260376,-0.35586774,0.033215784,-0.7101251,0.19551522,0.317391,0.302445,-0.11390254,-0.111900814,-0.85705376,-0.6229391,0.09815857,0.311796,-1.0072452,-0.8294176,0.2514587,1.3815888,1.1814387,0.9971605,0.4030706,0.93054086,-0.20991495,-0.08729241,-0.69044536,0.7288902,0.85898834,-0.69653714,1.7650944,-0.4083536,-0.32814655,1.4620285,-0.94810236,0.41426146
-0.76415104,0.29523253,0.74287,-0.46383765,0.88307554,1.6187675,1.2946267,0.87914705,1.1499586,1.0529019,0.92214435,0.5903253,1.0448153,-0.30320945,-0.5538512,-0.340417,-0.21688543,-0.60665566,0.85254604,-0.5307105,-0.23506719,-0.17957652,-0.9733614,-0.49887845,1.1985184,0.13462038,0.47402298,0.39233363,-0.5737481,1.3668206,-0.5224396,1.3690746,0.81124187,-0.3904037,-0.6882689,1.8738532,0.29402643,0.18894652,1.7341168,-2.0136907,-0.59291136,-2.1865518,0.7850047,-1.6509955,2.8944035,3.9126475,1.1036216,1.5538781,-0.059427712,-0.7763894
-0.9736436,-0.15853909,-1.3677878,-0.29264227,-1.0114579,-0.7884571,1.4905355,-0.13489935,-0.5959792,-0.25195837,-0.46209925,1.1734444,3.2221835,-1.0517149,1.0977091,0.27436426,-0.10336817,-0.06296279,-0.22919045,0.5357151,0.47481045,1.3672719,0.011827629,-1.3423165,0.3690893,0.87345284,1.6705498,-0.50124556,-0.52749723,0.058918014,0.8178005,0.56873167,0.40692815,-0.58424425,-1.5093186,-0.099052265,0.64770824,-1.070368,-0.021543616,-1.5014062,2.2703307,-1.0308393,-0.4562363,0.3740494,-0.7397721,0.3674798,-0.57038677,-0.8891471,-0.28346184,0.50373256
-0.026062146,-0.41840386,0.49914202,0.12747416,0.65649414,-0.41289327,-0.45031425,-0.28172025,-0.29365587,-1.36827,0.4827746,-0.8355814,0.84713477,0.27311403,-0.28567204,-0.602881,-0.48735523,-0.4576357,1.203968,0.30808505,-0.86678255,0.3689039,1.2511296,0.16649953,-0.44205692,-0.20540859,-0.8324128,-0.7012855,0.79508066,0.15826507,-1.6649535,-0.61480224,0.8003696,-0.4833129,-0.9146506,0.44644848,0.9372371,0.61818874,-1.4643064,2.0091767,-1.6404964,-1.0976762,0.64899427,-0.51119393,0.23703954,0.28754738,0.79566664,0.4035182,0.22073439,-0.0050415974
-0.11673217,-2.488089,0.117120415,0.061968178,0.76360726,1.2189442,1.2875061,1.7246524,-0.15810125,-1.2684767,-1.408979,0.40248665,0.7662782,0.25523463,0.37320837,0.20222461,0.25483295,0.3370391,0.51152575,-0.31555006,0.36788595,-0.09134789,-1.47235,-0.57019544,-0.4479396,0.77455825,-1.270228,0.7844219,-0.38401487,0.90240145,0.5965444,-0.32699603,-1.0559527,-0.45121616,1.0188401,0.15387642,-1.3960634,-0.019204017,-0.2942066,-0.28623915,-0.047743145,0.25315475,-0.13823272,0.8071148,0.8124025,-1.1086284,-1.3339735,0.39837214,1.1410187,0.35587487
-1.474262,0.25570637,1.3252347,0.42172387,0.814806,-0.785719,-0.5657607,-0.32011116,1.470504,2.0971456,0.22583115,-1.2390043,-0.70312774,0.09616616,0.15644765,1.4382148,1.4601647,2.0586,1.2175359,1.5673097,0.7904852,-0.466128,-0.7429951,1.1001914,-0.91897017,0.80068094,-0.5012552,0.089747354,-1.1940298,-1.0972152,0.16652387,-0.117523365,-0.0072539174,0.14560543,2.5715127,1.9874812,0.91421556,0.55957425,-0.3601664,1.3085482,-0.88068825,0.13741136,-0.8151337,-0.9303426,-0.64904094,-0.59526724,0.59326607,-0.37277588,1.1407585,0.24803449
