sd_num,attn_dropout_a,attn_dropout_v,relu_dropout,embed_dropout,res_dropout,dst_feature_dim_nheads,batch_size,learning_rate,nlevels,conv1d_kernel_size_l,conv1d_kernel_size_a,conv1d_kernel_size_v,text_dropout,attn_dropout,output_dropout,grad_clip,patience,weight_decay,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
256,0.0,0.0,0.0,0.0,0.1,"[32, 8]",24,3e-05,4,5,3,3,0.2,0.2,0.1,0.6,5,0.005,0.8309,0.8307,0.8476,0.8478,0.516,0.4504,0.7466,0.7912,0.743
1024,0.2,0.0,0.0,0.1,0.2,"[32, 8]",16,3e-05,2,1,1,5,0.1,0.4,0.1,0.6,5,0.005,0.8294,0.8294,0.846,0.8465,0.5204,0.4519,0.7297,0.7954,0.7292
256,0.0,0.1,0.2,0.1,0.1,"[30, 10]",16,3e-05,2,1,5,3,0.5,0.3,0.1,0.8,5,0.005,0.8076,0.8076,0.8262,0.8268,0.5146,0.4417,0.7794,0.7731,0.7788
512,0.0,0.2,0.1,0.0,0.0,"[36, 6]",16,3e-05,4,5,1,1,0.5,0.2,0.2,1.0,5,0.005,0.8105,0.8097,0.8308,0.8308,0.5277,0.4592,0.7469,0.783,0.7461
256,0.2,0.0,0.2,0.2,0.0,"[40, 10]",16,3e-05,6,5,5,1,0.3,0.4,0.3,1.0,5,0.005,0.8236,0.8226,0.846,0.8458,0.5146,0.449,0.7348,0.7959,0.7342
256,0.0,0.1,0.1,0.0,0.0,"[32, 8]",24,5e-05,2,1,5,1,0.1,0.3,0.4,1.0,5,0.005,0.812,0.812,0.8262,0.8268,0.5102,0.449,0.7427,0.7896,0.7398
256,0.1,0.2,0.2,0.1,0.0,"[40, 8]",24,3e-05,4,5,5,1,0.3,0.3,0.3,0.6,5,0.005,0.8207,0.82,0.843,0.843,0.5102,0.4461,0.7511,0.7788,0.7473
256,0.0,0.1,0.0,0.0,0.2,"[40, 8]",24,5e-05,6,3,5,1,0.3,0.3,0.5,0.6,5,0.005,0.8105,0.8098,0.8323,0.8324,0.4956,0.4402,0.7642,0.7731,0.7604
512,0.0,0.2,0.0,0.2,0.1,"[30, 6]",16,4e-05,4,3,3,3,0.3,0.4,0.1,0.6,5,0.005,0.8265,0.826,0.843,0.8429,0.5131,0.4388,0.7354,0.7838,0.7347
256,0.0,0.0,0.2,0.2,0.0,"[40, 10]",16,3e-05,6,1,5,5,0.5,0.2,0.1,0.6,5,0.005,0.8338,0.8334,0.8537,0.8538,0.5204,0.4519,0.7371,0.7888,0.7365
